Title,Volume,Publisher,Label,Issue Number,Image,Cover Date,Cover Price,ISBN/UPC,Contributors,Characters,Details,URL
Block 109: S.H.A.R.K.,(2014),Akileos,TPB:,# 1,https://comicbookrealm.com/cover-scan/e8ca262e380761b3f60f05bb9c3c43f8/xl/akileos-block-109-shark-tpb-1.jpg,Feb '14,$29.99,,,, ,https://comicbookrealm.com/series/66918/0/akileos-block-109-shark
The Resistor,(1971),Alan R. Fisher,Issue:,# 1,https://comicbookrealm.com/cover-scan/a929e7b397df0b6ff331b28a1535d14c/xl/alan-r-fisher-the-resistor-issue-1.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/69583/0/alan-r-fisher-the-resistor
Leaning Girl,(2014),Alaxis Press,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/6ad6169d623a49f0436aea3a3d1a10a4/xl/alaxis-press-leaning-girl-soft-cover-1.jpg,,$29.99,978-1628472271,,,"After a metaphysical accident on a roller coaster, young Mary begins to lean. Five years later, as a young woman, Mary joins Prof. Wappendorf in a rocket. On an alien planet, they meet Jules Verne and a lonely artist. This is a story of persevarance and a search for love. This is the first time this award-winning graphic novel has been published in English. ",https://comicbookrealm.com/series/37688/0/alaxis-press-leaning-girl
Dumbunnies and Their Friends in Rabbitboro,One-Shot (1931),Albertine Randall Wheelan,Issue:,# 1,https://comicbookrealm.com/cover-scan/11fd658971cfe09c6a0e1c131415c0eb/xl/albertine-randall-wheelan-dumbunnies-and-their-friends-in-rabbitboro-one-shot-issue-1.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/40087/0/albertine-randall-wheelan-dumbunnies-and-their-friends-in-rabbitboro-one-shot
Conqueror Comics,One-Shot (1945),Albrecht Publishing Co,Issue:,nn,https://comicbookrealm.com/cover-scan/16eaa0de5dfbcfaa40ca981ac3eff617/xl/albrecht-publishing-co-conqueror-comics-one-shot-issue-nn.jpg,Winter 1945,$0.10,,,, ,https://comicbookrealm.com/series/45567/0/albrecht-publishing-co-conqueror-comics-one-shot
Book of Thoht,(1971),Alder Photo-Graphics,Issue:,nn,https://comicbookrealm.com/cover-scan/b17febd11dbe9fb35ebc1257b780341b/xl/alder-photo-graphics-book-of-thoht-issue-nn.jpg,1971,$5.00,,,,Portfolio ,https://comicbookrealm.com/series/65686/0/alder-photo-graphics-book-of-thoht
Shepherd,One-Shot (2009),Alex Heberling Productions,Issue:,# 1,https://comicbookrealm.com/cover-scan/369c5ceb507d519d6d73e5709e4b6b8b/xl/alex-heberling-productions-shepherd-one-shot-issue-1.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/31408/0/alex-heberling-productions-shepherd-one-shot
Low Res PDFs,(2016),Alex Krokus,Issue:,# 1,,,$0.00,,,, ,https://comicbookrealm.com/series/44987/0/alex-krokus-low-res-pdfs
R. Crumb Retrospective,(1993),Alexander Gallery,Hard Cover:,nn,https://comicbookrealm.com/cover-scan/bfc77cdf3b8edb136e463e8cfc693e9f/xl/alexander-gallery-r-crumb-retrospective-hard-cover-nn.jpg,,$0.00,,,,Gallery Show Catalog ,https://comicbookrealm.com/series/68717/0/alexander-gallery-r-crumb-retrospective
Shred Boot Camp,(2009),Alfred Music Publishing Co.,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/0a97ab068e1f2bd8f8ea4cdefcd0aaca/xl/alfred-music-publishing-co-shred-boot-camp-soft-cover-1.jpg,Jul '09,$16.95,978-0739052778,,,"Shred Boot Camp is the first comic book of its kind: a complete book and CD package that guides you through the adventurous journey of saving the human race by performing heavy metal pyrotechnics on your guitar---all while teaching you to shred like a pro! As you conquer your way through this five-week workout, you'll be exposed to the most challenging licks from The Shred Squadron. CAUTION: Shred at your own risk---the world is depending on you! ",https://comicbookrealm.com/series/63818/0/alfred-music-publishing-co-shred-boot-camp
A Funny Thing Happened to Me on the Way to Tel Aviv,One-Shot (1967),All American Printing Co.,Issue:,nn,https://comicbookrealm.com/cover-scan/1a909aff81505e161c4124a580323769/xl/all-american-printing-co-a-funny-thing-happened-to-me-on-the-way-to-tel-aviv-one-shot-issue-nn.jpg,1967,$0.50,,,,"Humor magazine using stock photos and then adding funny dialogue. Produced after the Six-Day War which took place June 5-10, 1967. ",https://comicbookrealm.com/series/69996/0/all-american-printing-co-a-funny-thing-happened-to-me-on-the-way-to-tel-aviv-one-shot
All-Negro Comics,One-Shot (1947),All Negro Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/1630595fa88f60b41417ea205b7585fb/l/all-negro-comics-all-negro-comics-one-shot-issue-1.jpg,Jun '47,$0.15,,"Bill Driscoll
Editor
Orrin C. Evans
Editor
George J. Evans Jr.
Pencils - Inks
John Terrell
Pencils - Inks","Ace Harlem
Lion Man","• Rare (10-20 copies estimated to exist).

• First comic book in full by black creators including writers, artists and the publisher

• Inside back cover has an advertisement for #2 but it was never published due to vendor refusal

—————

“Early morning in Pop's Bar-B-Que Shack” – (15-page Ace Harlem story, no synopsis written).

“Grownups don't know it, but the world 'round us is filled with li'l Dew Dillies” – (10-page Dew Dillies story, no synopsis written).

“Ezekiel's Manhunt” – (2-page text story, no synopsis written).

“American-born, college educated, Lion Man is a young scientist, sent by the United Nations…” – (10-page Lion Man story, no synopsis written).

“Hep Chicks on Parade” – (1-page cartoon).

""Egbert! Your pay is a dollar short.” – (1-page Lil' Eggie story, no synopsis written).

“Ah wuz just thinkin' Sugarfoot - this is a heck of a way to start life in de comics!” – (8-page Sugarfoot story, no synopsis written).

—————

NOTE: Seldom found in fine or better conditions; many copies have brown pages.

NOTE: Lion Man is reputed to be the first Black comic book superhero. ",https://comicbookrealm.com/series/19269/0/all-negro-comics-all-negro-comics-one-shot
Stimmen Der Vergagenheit,(1989),All Verlag,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/30f2098832b50e722f4a1cf977a2717c/xl/all-verlag-stimmen-der-vergagenheit-soft-cover-1.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/37402/0/all-verlag-stimmen-der-vergagenheit
Mother is a Pitcher,(1974),All of Us Inc.,Issue:,nn,https://comicbookrealm.com/cover-scan/971c3b4285c7b2e8f81ea074cfa5ee9d/xl/all-of-us-inc-mother-is-a-pitcher-issue-nn.jpg,Jan '74,$1.25,,,, ,https://comicbookrealm.com/series/67645/0/all-of-us-inc-mother-is-a-pitcher
The Tango Collection,(2010),Allen & Unwin,TPB:,# 1,https://comicbookrealm.com/cover-scan/7162d9cb6c22f5e493765ce472004341/xl/allen-unwin-the-tango-collection-tpb-1.jpg,Aug '10,$26.95,,,,"The perfect introduction for anyone curious about this exciting and versatile storytelling medium, this is a vibrant showcase of the most creative comic book talent in Australia and New Zealand, with more than 50 contributors including Nicki Greenberg, Andrew Weldon, Bruce Mutard, Mandy Ord, Gordon Reece, and many more. Collecting more than 60 stories, this quirky, experimental, and fun collection is a feast for the senses, a celebration of love in all its guises, and an introduction to a new breed of writer. ",https://comicbookrealm.com/series/61217/0/allen-unwin-the-tango-collection
Factual Illusions,One-Shot (1994),Alliance Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/082522a31c8e46a70b6097eaf222af4d/xl/alliance-comics-factual-illusions-one-shot-issue-1.jpg,Aug '94,$2.50,,"Dan DeBono
Scripts
Kyle Hotz
Pencils - Cover Art
Larry James
Pencils
Pav Kovacic
Pencils",, ,https://comicbookrealm.com/series/49594/0/alliance-comics-factual-illusions-one-shot
Mr. and Mrs. Pott and Whalesteeth,One-Shot (1945),Allied Authors and Artists,Issue:,nn,https://comicbookrealm.com/cover-scan/c73fd686ac55650f85f76a1dd980023a/xl/allied-authors-and-artists-mr-and-mrs-pott-and-whalesteeth-one-shot-issue-nn.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/71258/0/allied-authors-and-artists-mr-and-mrs-pott-and-whalesteeth-one-shot
Super Seaman Sloppy,One-Shot (1940),Allied Pristine Union Council,Issue:,nn,https://comicbookrealm.com/cover-scan/c0c13ccbf184057dd7a5aa05a6795749/xl/allied-pristine-union-council-super-seaman-sloppy-one-shot-issue-nn.jpg,1940,$0.00,,,, ,https://comicbookrealm.com/series/36659/0/allied-pristine-union-council-super-seaman-sloppy-one-shot
Wild Stars,Vol. 1 (1984),Collector's Edition,Issue:,# 1,https://comicbookrealm.com/cover-scan/53c95a79b7096cdc50c586eba6763668/l/collectors-edition-wild-stars-vol-1-issue-1.jpg,,$1.50,,,, ,https://comicbookrealm.com/series/19734/0/collectors-edition-wild-stars-vol-1
Wild Stars,Vol. 2 (1988),Collector's Edition,Issue:,# 1,,,$1.95,,,, ,https://comicbookrealm.com/series/19735/0/collectors-edition-wild-stars-vol-2
A Field Guide to Ugly Americans,(2010),Comedy Central,Issue:,# 1,https://comicbookrealm.com/cover-scan/06abed118c85d48d00eae278822453b0/xl/comedy-central-a-field-guide-to-ugly-americans-issue-1.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/35216/0/comedy-central-a-field-guide-to-ugly-americans
FreakShow,One-Shot (2006),Comedy Central,Issue:,# 1,https://comicbookrealm.com/cover-scan/929a11e7612a1e98a96c56b3fb5e1b82/l/comedy-central-freakshow-one-shot-issue-1.jpg,Nov '06,Free,,,,"Promotional Ashcan Edition

Included in Wizard Comics Magazine #181


NOT FOR RESALE on cover ",https://comicbookrealm.com/series/16002/0/comedy-central-freakshow-one-shot
Red Moon,(2010),Cossack Comics,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/e0d239dec249d6c5b17937d5eaf82e59/xl/cossack-comics-red-moon-soft-cover-1.jpg,,$19.99,,,, ,https://comicbookrealm.com/series/37127/0/cossack-comics-red-moon
Red Moon: Rising,One-Shot (2009),Cossack Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/84ad5389e2b7ff8acc2d891d3f3125c9/xl/cossack-comics-red-moon-rising-one-shot-issue-1.jpg,,$0.00,,,,(Prequel to Red Moon) ,https://comicbookrealm.com/series/37128/0/cossack-comics-red-moon-rising-one-shot
Jon Pay: Private Investigator,One-Shot (2001),BDP Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/f83f5ee4199507d20e40d36182472cc4/xl/bdp-comics-jon-pay-private-investigator-one-shot-issue-1.jpg,2001,$1.50,,,, ,https://comicbookrealm.com/series/42795/0/bdp-comics-jon-pay-private-investigator-one-shot
"Jon Pay: Private Investigator - Bullets, Babes & By-Lines",One-Shot (2004),BDP Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/0cd42d9fe9c8b5e1ca4d921e4af93f8f/xl/bdp-comics-jon-pay-private-investigator-bullets-babes--by-lines-one-shot-issue-1.jpg,2004,$1.75,,,, ,https://comicbookrealm.com/series/42796/0/bdp-comics-jon-pay-private-investigator-bullets-babes-by-lines-one-shot
Clyde Beatty Comics,One-Shot (1953),Commodore Productions & Artists Inc.,Issue:,# 1,https://comicbookrealm.com/cover-scan/5ea0ec351fcc356a21b40c1281bd3270/xl/commodore-productions-artists-inc-clyde-beatty-comics-one-shot-issue-1.jpg,Oct '53,$0.25,,,, ,https://comicbookrealm.com/series/45548/0/commodore-productions-artists-inc-clyde-beatty-comics-one-shot
Clyde Beatty's African Jungle Book,One-Shot (1956),Commodore Productions & Artists Inc.,Issue:,nn,https://comicbookrealm.com/cover-scan/cbca33d6586e55592b2acf535e6b6b03/xl/commodore-productions-artists-inc-clyde-beattys-african-jungle-book-one-shot-issue-nn.jpg,Dec '56,Free,,,,Richfield Oil Co. Giveaway ,https://comicbookrealm.com/series/35658/0/commodore-productions-artists-inc-clyde-beattys-african-jungle-book-one-shot
Cadre Sketchbook,"Cadre Corner Studios
#abcdefghijklmnopqrstuvwxyz",Cadre Corner Studios,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/03ce32576fdab423ddfe81305b5aeda9/xl/cadre-corner-studios-cadre-sketchbook-soft-cover-1.jpg,,$15.00,,,,"Jesse Hansen sketchbook, Magazine size with a clear plastic front cover overlay ",https://comicbookrealm.com/series/48757/0/cadre-corner-studios-cadre-sketchbook
Cornerstone,One-Shot (2007),Cadre Corner Studios,Issue:,# 1,https://comicbookrealm.com/cover-scan/b083b0f052dc9e8e236d834bbd7815d3/xl/cadre-corner-studios-cornerstone-one-shot-issue-1.jpg,Jan '07,$3.25,,"Jason Bourgeois
Scripts - Pencils
Christopher Churchill
Scripts - Pencils
Michael Churchill
Scripts
Jennifer Eller
Letters
Jesse Hansen
Cover Art - Inks
Austin Janowsky
Scripts - Pencils
Ron Joseph
Pencils
Jay La Valley
Letters
Chris Lesley
Cover Art
Freddy Lopez Jr.
Cover Art
PJ Magalhaes
Inks
Stephie Stone
Pencils
William Taylor
Scripts",, ,https://comicbookrealm.com/series/47730/0/cadre-corner-studios-cornerstone-one-shot
"Tenements, Towers & Trash",(2018),Black Dog & Leventhal,Hard Cover:,# 1,https://comicbookrealm.com/cover-scan/a2212f55e09bea98378b3492551acc36/xl/black-dog-leventhal-tenements-towers--trash-hard-cover-1.jpg,Feb '18,$29.99,978-0316501217,,,"In Tenements, Towers & Trash, Julia Wertz takes us behind the New York that you think you know. Not the tourist's New York, but the guts, the underbelly, of this city that never sleeps. With drawings and comics in her signature style, Wertz regales us with streetscapes ""Then and Now"" and little-known tales, such as the lost history of Kim's Video, the complicated and unresolved business of Ray's Pizza, the vintage trash and horse bones that litter the shore of Brooklyn's Bottle Beach, the ludicrous pinball prohibition, Staten Island's secret abandoned boatyard, and the hair-raising legend of the infamous abortionist of Fifth Avenue, Madame Restell. From bars, bakeries, and bookstores to food carts, steet cleaners and apartments both cramped and grand, Tenements, Towers & Trash is a wild ride in a time machine taxi from the present day city to bygone days of yore. ",https://comicbookrealm.com/series/51507/0/black-dog-leventhal-tenements-towers-trash
That's Dangerous,(2003),Black Dog & Leventhal,Hard Cover:,# 1,,,$9.95,,,, ,https://comicbookrealm.com/series/36441/0/black-dog-leventhal-thats-dangerous
Capt. Ben Dix in Action with the Invisible Crew,One-Shot (1942),Bendix Aviation Corporation,Issue:,nn,https://comicbookrealm.com/cover-scan/19d96149c8565b21d06949979bf831af/xl/bendix-aviation-corporation-capt-ben-dix-in-action-with-the-invisible-crew-one-shot-issue-nn.jpg,,Free,,,,Bendix Aviation Promotional Giveaway ,https://comicbookrealm.com/series/52620/0/bendix-aviation-corporation-capt-ben-dix-in-action-with-the-invisible-crew-one-shot
Capt. Ben Dix: Secrets of the Invisible Crew,One-Shot (1940),Bendix Aviation Corporation,Issue:,nn,https://comicbookrealm.com/cover-scan/0745a1b7ab5fe313d9fc41d91e5b9285/xl/bendix-aviation-corporation-capt-ben-dix-secrets-of-the-invisible-crew-one-shot-issue-nn.jpg,,Free,,,,Bendix Aviation Promotional Giveaway ,https://comicbookrealm.com/series/52619/0/bendix-aviation-corporation-capt-ben-dix-secrets-of-the-invisible-crew-one-shot
Oink: Heaven's Butcher,(2015),Big Pig Ink,TPB:,# 1,https://comicbookrealm.com/cover-scan/88d6ee7c1c0bf1252474ad3af5dd935f/xl/big-pig-ink-oink-heavens-butcher-tpb-1.jpg,2015,$25.00,,"John Mueller
Scripts - Pencils - Cover Art",,Kickstarter Edition ,https://comicbookrealm.com/series/54391/0/big-pig-ink-oink-heavens-butcher
Oink: Heaven's Butcher - Icon Edition,(2016),Big Pig Ink,Hard Cover:,# 1,https://comicbookrealm.com/cover-scan/1a87f5b515d99bb296566d721414afcd/xl/big-pig-ink-oink-heavens-butcher-icon-edition-hard-cover-1.jpg,,$0.00,,,,"Kickstarter Exclusive

Hardback: OINK ICON Edition! Foil stamped slipcase + signed and numbered bookplate ",https://comicbookrealm.com/series/40890/0/big-pig-ink-oink-heavens-butcher-icon-edition
The Electric State,(2018),Atria Books,Hard Cover:,# 1,https://comicbookrealm.com/cover-scan/136d358717ccb6f83d8f6b22a0cdd0d9/xl/atria-books-the-electric-state-hard-cover-1.jpg,Dec '18,$35.00,978-1501181412,"Simon Stalenhag
Scripts - Pencils",,"Ready Player One and Black Mirror. In late 1997, a runaway teenager and her small yellow toy robot travel west through a strange American landscape where the ruins of gigantic battle drones litter the countryside, along with the discarded trash of a high-tech consumerist society addicted to a virtual-reality system. As they approach the edge of the continent, the world outside the car window seems to unravel at an ever faster pace, as if somewhere beyond the horizon, the hollow core of civilization has finally caved in.>A teen girl and her robot embark on a cross-country mission in this illustrated science fiction story, perfect for fans of Ready Player One and Black Mirror. In late 1997, a runaway teenager and her small yellow toy robot travel west through a strange American landscape where the ruins of gigantic battle drones litter the countryside, along with the discarded trash of a high-tech consumerist society addicted to a virtual-reality system. As they approach the edge of the continent, the world outside the car window seems to unravel at an ever faster pace, as if somewhere beyond the horizon, the hollow core of civilization has finally caved in. ",https://comicbookrealm.com/series/54888/0/atria-books-the-electric-state
Explorers Guild: A Passage to Shambhala,(2017),Atria Books,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/5f484a17e6009c5c5041bad6337314f0/xl/atria-books-explorers-guild-a-passage-to-shambhala-soft-cover-1.jpg,Feb '17,$18.00,978-1476727400,,,"Behind the staid public rooms of an old world gentlemen's club operates a more mysterious organization: The Explorers Guild, a clandestine group of adventurers who bravely journey to those places in which light gives way to shadow and reason is usurped by myth. The aim of The Explorers Guild: to discover the mysteries that lie beyond the boundaries of the known world. This combination graphic novel and adventure tale, set against the backdrop of World War I, concerns the Guild's quest to find the golden city of Buddhist myth. The search will take them from the Polar North to the Mongolian deserts, through the underground canals of Asia to deep inside the Himalayas, before the fabled city finally divulges its secrets! ",https://comicbookrealm.com/series/46725/0/atria-books-explorers-guild-a-passage-to-shambhala
"National Lampoon's Truly Sick, Tasteless, and Twisted Cartoons",(2002),Contemporary Books,TPB:,# 1,https://comicbookrealm.com/cover-scan/d1657377f83716ebb4f83fb344697078/xl/contemporary-books-national-lampoons-truly-sick-tasteless-and-twisted-cartoons-tpb-1.jpg,Jan '02,$0.00,,,,A collection of mature humor for an immature audience. ,https://comicbookrealm.com/series/56419/0/contemporary-books-national-lampoons-truly-sick-tasteless-and-twisted-cartoons
"National Lampoon's Truly Twisted Cartoons: If it's Tasteless, It's in Here!",(1995),Contemporary Books,TPB:,# 1,https://comicbookrealm.com/cover-scan/f6f2e67fb1e355060aa72c6bdd99a7db/xl/contemporary-books-national-lampoons-truly-twisted-cartoons-if-its-tasteless-its-in-here-tpb-1.jpg,Apr '95,$12.95,,,,. A collection of adult humor and comic strips targeting a less mature mature audience. ,https://comicbookrealm.com/series/56420/0/contemporary-books-national-lampoons-truly-twisted-cartoons-if-its-tasteless-its-in-here
Funny Book,One-Shot (1971),Almighty Publishing Co.,Issue:,# 1,https://comicbookrealm.com/cover-scan/922489b034274c9df691b49faa9fa45e/xl/almighty-publishing-co-funny-book-one-shot-issue-1.jpg,1971,$0.50,,,,First Appearance of Cherry Poptart ,https://comicbookrealm.com/series/27712/0/almighty-publishing-co-funny-book-one-shot
Funnybook,One-Shot (1971),Almighty Publishing Co.,Issue:,# 1,https://comicbookrealm.com/cover-scan/30dc5971c4dd4b989682ad934fccbb6c/xl/almighty-publishing-co-funnybook-one-shot-issue-1.jpg,Jan '71,$0.50,,,, ,https://comicbookrealm.com/series/66484/0/almighty-publishing-co-funnybook-one-shot
Dudley Goes to Camp Brush and Floss,One-Shot (2004),American Dental Association,Issue:,nn,https://comicbookrealm.com/cover-scan/1504d73517ea6465161554e72e80be81/xl/american-dental-association-dudley-goes-to-camp-brush-and-floss-one-shot-issue-nn.jpg,2004,Free,,,,Educational Giveaway ,https://comicbookrealm.com/series/68328/0/american-dental-association-dudley-goes-to-camp-brush-and-floss-one-shot
Dudley the Dragon,One-Shot (1974),American Dental Association,Issue:,G 45,https://comicbookrealm.com/cover-scan/ec8e550573ad8459550d0a8c3e0008ba/xl/american-dental-association-dudley-the-dragon-one-shot-issue-g-45.jpg,1974,Free,,,,Dentist Office Educational Giveaway ,https://comicbookrealm.com/series/58749/0/american-dental-association-dudley-the-dragon-one-shot
Science!,(2020),Bedside Press,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/4ae7a0dba65630093de9265084f689e2/xl/bedside-press-science-soft-cover-1.jpg,Jan '20,$20.00,978-1988715278,,,"Science! is the story of Tamsin Kuhn Trakroo, a fourteen-year-old girl who is already the smartest Theoretical and Applied Physicist in any room. Yeah, she's that super smart! Tamsin has just started studying at The Prometheus Institute which is only the world's most famous and prestigious science school. The Institute is a futuristic wonderland filled with genius teachers (some who might not be of this world), and floating helper robots known as S.T.A.T.s. But Tamsin is stressed, and if your dead father talked to you through your super-cool science glasses, you'd be stressed out too. That's right, her father, the world-renowned Dr. Thomas Trakroo uploaded his consciousness before his death and now lives as a hologram stored in Tamsin's glasses. Her father claims that Lucan Laveran, headmaster of The Prometheus Institute, is his murderer, and is on a mission to destroy the Institute! But Lucan just offered Tamsin a really cool position as his assistant. He can't be a murderer, right? Can she trust her weird holographic Dad? Tamsin's really cute roommate, Garyn, is the only one that she can trust right now. However, Garyn's just discovered a dangerous energy source that could win her the Prometheus Institute Award for Superior Science, or it could tear a hole in the very space/time continuum! ",https://comicbookrealm.com/series/58929/0/bedside-press-science
Science!: The Elements of Dark Energy,(2019),Bedside Press,TPB:,# 1,https://comicbookrealm.com/cover-scan/bf9fc400aef01ea60fa31bcb2e9c5fac/xl/bedside-press-science-the-elements-of-dark-energy-tpb-1.jpg,Jan '20,$20.00,,,,"Tamsin Kuhn Trakroo is a fourteen-year-old super scientist who has just started studying at The Prometheus Institute, the world's most famous and prestigious science school. She's dealing with all the normal transfer student stress, weird classmates, crushing on her super-smart roommate, the holographic ghost of her father, a murder mystery, and oh yeah, a hole in the time-space continuum! ",https://comicbookrealm.com/series/69609/0/bedside-press-science-the-elements-of-dark-energy
On the Eastern Front,(2013),Crabtree Publishing Co.,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/708725b710368e2ca7eb1a0cde94da38/xl/crabtree-publishing-co-on-the-eastern-front-soft-cover-1.jpg,2013,$9.95,978-0778709169,,, ,https://comicbookrealm.com/series/70223/0/crabtree-publishing-co-on-the-eastern-front
On the Western Front,(2013),Crabtree Publishing Co.,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/f8eb0c9e5d952e65133efda30da7ade9/xl/crabtree-publishing-co-on-the-western-front-soft-cover-1.jpg,2013,$9.95,978-0778709152,,, ,https://comicbookrealm.com/series/70222/0/crabtree-publishing-co-on-the-western-front
Magnolia & Vern: Buck Moth,One-Shot (2013),Amanda E. Ahlstrom,Issue:,nn,https://comicbookrealm.com/cover-scan/69083f955cd07dd1ddcf413f40513acf/xl/amanda-e-ahlstrom-magnolia-vern-buck-moth-one-shot-issue-nn.jpg,,$3.00,,,,NOTE: Comic has multiple printings of 25 copies per printing. ,https://comicbookrealm.com/series/71200/0/amanda-e-ahlstrom-magnolia-vern-buck-moth-one-shot
Magnolia & Vern: The Forest,One-Shot (2014),Amanda E. Ahlstrom,Issue:,nn,https://comicbookrealm.com/cover-scan/3ee6012f281fe581881dc5270d1252e5/xl/amanda-e-ahlstrom-magnolia-vern-the-forest-one-shot-issue-nn.jpg,2014,$5.00,,,, ,https://comicbookrealm.com/series/72222/0/amanda-e-ahlstrom-magnolia-vern-the-forest-one-shot
Honk and Freands,One-Shot (2021),Elephant Eater Comics,Issue:,nn,https://comicbookrealm.com/cover-scan/212ce001c402c26b89422d7f5aaa9fc6/xl/elephant-eater-comics-honk-and-freands-one-shot-issue-nn.jpg,,$0.00,,,,Kickstarter Exclusive ,https://comicbookrealm.com/series/71205/0/elephant-eater-comics-honk-and-freands-one-shot
